,Frame,Head_X,Head_Y,Chest_X,Chest_Y,Shoulder_R_X,Shoulder_R_Y,Elbow_R_X,Elbow_R_Y,Wrist_R_X,Wrist_R_Y,Shoulder_L_X,Shoulder_L_Y,Elbow_L_X,Elbow_L_Y,Wrist_L_X,Wrist_L_Y,Groin_X,Groin_Y,Hip_R_X,Hip_R_Y,Knee_R_X,Knee_R_Y,Ankle_R_X,Ankle_R_Y,Hip_L_X,Hip_L_Y,Knee_L_X,Knee_L_Y,Ankle_L_X,Ankle_L_Y,Eye_R_X,Eye_R_Y,Eye_L_X,Eye_L_Y,Ear_R_X,Ear_R_Y,Ear_L_X,Ear_L_Y,Ses_L_X,Ses_L_Y,Toes_L_X,Tose_L_Y,Heel_L_X,Heel_L_Y,Ses_R_X,Ses_R_Y,Toes_R_X,Tose_R_Y,Heel_R_X,Heel_R_Y,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,7_X,7_Y,8_X,8_Y,Mid_knuckle_X,Mid_knuckle_Y,10_X,10_Y,11_X,11_Y,Mid_fing_X,Mid_fing_Y,13_X,13_Y,14_X,14_Y,15_X,15_Y,16_X,16_Y,17_X,17_Y,18_X,18_Y,19_X,19_Y,20_X,20_Y
10,10,190.064,191.743,157.138,239.509,153.873,241.135,176.891,298.897,231.265,284.014,162.06,236.242,173.574,305.479,224.691,287.336,124.18,364.796,124.112,364.858,165.379,455.444,104.369,542.827,127.438,363.192,152.152,455.545,109.303,539.549,180.194,186.798,0.0,0.0,158.767,191.717,0,0,148.856,560.946,147.221,557.648,84.5764,549.488,143.932,560.948,135.69,561.062,89.5339,549.448,274.714,261.868,264.374,256.813,233.353,279.102,245.302,255.894,238.868,263.477,233.123,276.345,234.502,277.953,239.327,265.315,239.787,265.315,234.042,274.277,237.949,269.451,241.166,265.775,237.489,270.371,234.502,274.277,236.11,274.277,239.557,271.06,238.408,269.222,233.123,276.345,234.732,276.115,227.379,274.507,228.068,274.507
11,11,186.79,193.342,157.086,242.795,152.122,242.848,183.487,295.612,231.307,274.125,163.737,241.204,176.872,303.841,229.635,275.794,129.065,368.118,125.786,371.394,175.205,455.493,101.093,542.828,135.667,364.867,157.125,457.142,112.583,536.311,176.942,189.985,185.114,190.019,153.8,193.359,0,0,150.462,561.019,148.848,559.264,86.1697,547.822,138.965,561.043,129.093,562.639,86.2901,547.831,246.637,272.89,256.77,245.643,245.736,244.292,243.935,247.895,246.187,242.265,279.738,256.001,279.963,258.253,272.533,253.524,264.426,256.902,279.063,262.757,274.784,263.432,267.579,260.505,258.571,261.631,276.586,269.962,272.758,269.512,265.102,270.413,259.022,266.81,276.361,274.691,274.784,276.492,271.857,278.294,264.876,276.718
12,12,181.82,195.024,152.176,244.42,150.543,244.456,191.735,295.627,234.61,267.579,158.732,242.836,181.819,300.518,229.664,269.156,132.365,369.764,127.463,371.436,176.832,455.547,104.352,539.569,135.682,366.497,162.058,457.127,112.565,536.305,175.265,190.081,178.523,190.122,152.122,193.442,0,0,150.492,561.037,148.875,559.29,84.5974,547.794,140.603,561.033,130.76,562.618,87.9006,547.77,249.482,260.492,255.748,231.333,251.41,228.441,237.192,239.045,234.059,245.551,279.605,242.659,227.071,245.792,230.204,249.166,235.987,249.889,274.303,251.335,226.589,249.407,231.65,253.503,236.228,256.395,236.71,259.046,224.661,252.781,228.276,258.082,235.505,259.769,234.3,264.107,222.974,255.672,226.107,259.287,230.686,261.938
13,13,178.628,195.055,152.18,244.494,150.518,244.521,198.349,292.262,232.942,254.394,160.373,244.417,190.046,293.929,0.0,0.0,137.265,371.386,130.742,373.05,178.488,455.555,107.615,536.313,140.612,368.107,168.657,457.15,112.605,536.252,173.583,190.122,0.0,0.0,150.51,196.679,0,0,150.465,561.051,148.822,559.306,84.5727,547.76,140.611,561.006,132.386,561.031,87.903,546.17,239.895,249.831,245.101,211.157,218.079,230.99,218.079,229.007,217.335,228.511,231.218,227.767,227.499,232.725,228.243,242.394,233.449,247.352,227.003,236.196,222.789,237.188,227.251,247.104,231.714,252.558,222.293,236.692,220.062,239.419,223.533,248.344,228.243,250.575,218.079,236.94,218.574,240.906,219.07,244.129,220.806,247.352
14,14,178.512,195.04,152.101,242.887,150.556,244.438,204.881,282.436,229.577,241.152,150.506,242.789,195.024,289.005,0.0,0.0,137.288,369.77,135.664,373.042,178.562,457.11,107.615,536.291,138.967,368.103,166.998,458.784,112.63,536.243,168.675,190.078,0.0,0.0,148.884,198.297,0,0,150.458,561.043,148.832,559.292,84.5918,547.744,140.648,561.002,132.383,561.031,87.9167,546.149,227.269,241.877,251.103,211.964,213.164,229.961,219.244,221.935,207.813,214.639,219.487,221.205,229.944,235.554,230.674,237.013,231.647,240.661,213.407,214.396,209.759,214.639,207.813,214.152,210.002,229.717,209.759,224.124,209.759,213.666,209.516,214.639,211.218,230.204,208.786,224.61,205.381,219.503,207.327,220.962,207.813,221.205
15,15,176.921,191.732,150.554,242.808,152.193,242.848,214.827,269.193,221.411,224.685,142.308,241.19,204.934,274.133,219.737,226.338,137.338,371.4,137.358,373.068,178.553,457.131,107.673,536.288,135.689,369.746,165.368,458.76,112.655,536.257,167.023,188.379,0.0,0.0,147.236,193.38,0,0,150.452,561.013,148.83,559.262,84.5944,547.769,142.265,560.983,134.021,561.025,89.5295,546.161,209.126,186.815,218.1,180.334,225.328,177.343,235.05,182.328,234.551,185.569,242.279,182.827,246.018,188.311,234.551,190.056,229.815,190.554,244.273,189.059,243.525,192.798,228.569,198.78,225.079,200.276,244.522,196.287,238.789,199.528,233.554,202.768,227.572,204.763,246.267,203.267,240.783,206.258,237.044,207.754,232.059,209.249
16,16,176.838,188.399,150.54,232.917,152.231,232.942,218.086,254.329,216.465,209.884,142.257,231.323,214.823,259.311,214.806,216.439,137.291,359.889,139.004,361.52,178.489,455.492,107.66,536.295,127.475,358.246,153.822,455.496,114.273,536.261,165.408,178.633,175.191,178.556,145.598,190.052,0,0,150.483,561.009,148.853,559.27,84.5875,547.806,142.281,560.966,135.655,561.015,89.5289,546.167,215.168,170.324,214.406,165.498,195.61,202.583,190.021,188.105,188.243,188.105,220.248,205.631,218.724,204.361,195.102,189.883,191.291,201.567,212.882,205.631,204.246,200.043,194.594,200.043,192.307,202.075,209.834,206.647,206.786,205.631,196.372,201.821,193.831,202.329,196.88,205.123,206.024,206.393,198.404,204.869,196.118,202.329
17,17,176.798,178.496,152.14,224.691,153.859,227.952,223.067,236.25,216.505,191.774,145.551,221.4,0.0,0.0,0.0,0.0,140.608,348.381,140.651,350.006,175.226,453.804,107.673,536.257,138.968,348.344,158.749,453.772,112.634,534.665,165.409,175.174,0.0,0.0,147.241,180.247,0,0,150.5,561.02,150.443,559.281,84.5946,547.768,142.282,560.972,135.666,561.024,91.1421,546.131,185.19,160.988,196.185,151.527,199.253,189.627,213.317,190.138,221.5,196.019,214.34,189.882,214.851,190.138,209.482,190.138,218.687,192.44,223.801,161.755,195.162,189.882,208.203,192.695,213.317,193.974,226.614,162.266,192.861,190.138,192.349,190.394,206.413,174.54,228.66,160.988,227.637,161.499,201.043,184.001,204.368,177.353
18,18,175.244,165.34,153.817,216.441,162.033,216.431,227.93,218.074,216.431,176.879,143.936,216.453,0.0,0.0,0.0,0.0,145.578,340.082,140.668,343.378,162.035,445.633,107.625,534.658,150.481,338.447,167.028,443.977,112.597,533.002,165.349,162.062,0.0,0.0,148.829,173.576,0,0,147.193,559.387,145.538,554.416,86.1766,546.106,143.921,560.937,134.026,560.997,91.1671,544.53,185.069,143.697,209.976,172.232,209.009,174.408,216.022,175.375,216.022,175.375,211.669,172.957,213.604,171.99,205.14,173.682,213.604,172.473,188.213,168.121,190.147,171.748,186.278,171.506,213.604,171.748,187.487,171.264,188.455,172.232,187.487,166.186,186.036,160.383,175.88,166.67,176.847,168.121,188.213,161.833,187.971,161.108
19,19,175.268,152.232,160.369,203.23,162.069,203.285,229.633,201.637,216.483,155.459,155.48,201.579,226.33,201.631,218.036,162.025,147.237,325.286,143.919,328.562,160.416,437.325,110.959,531.269,150.512,323.663,150.478,432.411,112.614,524.727,165.342,150.506,0.0,0.0,150.425,163.642,0,0,145.547,559.377,147.223,556.002,91.1777,534.597,145.561,559.338,135.68,559.37,97.7494,534.685,184.127,129.807,189.086,119.394,208.425,156.583,217.35,151.129,224.788,157.327,214.623,154.352,215.119,153.608,188.838,149.393,225.036,158.319,220.573,123.361,189.086,156.831,186.359,154.352,183.136,145.179,220.821,123.361,189.334,157.575,187.35,156.583,186.607,156.335,220.821,124.6,216.854,149.145,220.077,121.873,220.077,121.377
