,Frame,Head_X,Head_Y,Chest_X,Chest_Y,Shoulder_R_X,Shoulder_R_Y,Elbow_R_X,Elbow_R_Y,Wrist_R_X,Wrist_R_Y,Shoulder_L_X,Shoulder_L_Y,Elbow_L_X,Elbow_L_Y,Wrist_L_X,Wrist_L_Y,Groin_X,Groin_Y,Hip_R_X,Hip_R_Y,Knee_R_X,Knee_R_Y,Ankle_R_X,Ankle_R_Y,Hip_L_X,Hip_L_Y,Knee_L_X,Knee_L_Y,Ankle_L_X,Ankle_L_Y,Eye_R_X,Eye_R_Y,Eye_L_X,Eye_L_Y,Ear_R_X,Ear_R_Y,Ear_L_X,Ear_L_Y,Ses_L_X,Ses_L_Y,Toes_L_X,Tose_L_Y,Heel_L_X,Heel_L_Y,Ses_R_X,Ses_R_Y,Toes_R_X,Tose_R_Y,Heel_R_X,Heel_R_Y,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,7_X,7_Y,8_X,8_Y,Mid_knuckle_X,Mid_knuckle_Y,10_X,10_Y,11_X,11_Y,Mid_fing_X,Mid_fing_Y,13_X,13_Y,14_X,14_Y,15_X,15_Y,16_X,16_Y,17_X,17_Y,18_X,18_Y,19_X,19_Y,20_X,20_Y
30,30,183.478,152.229,165.312,196.681,162.004,195.011,216.491,168.652,257.629,125.784,175.201,193.424,219.745,170.302,256.028,134.045,142.255,331.845,147.189,333.475,152.153,437.339,110.909,533.001,138.944,331.841,137.353,430.79,112.559,531.29,176.872,150.523,178.52,150.43,155.485,160.421,0,0,140.651,559.304,0.0,0.0,87.9393,546.109,150.493,559.404,138.937,560.997,97.724,544.505,281.376,90.569,291.547,99.0451,264.908,108.732,295.906,108.974,299.297,115.755,259.58,116.239,288.883,116.239,293.727,117.45,300.75,117.935,268.056,116.966,284.766,114.544,291.305,116.482,299.539,116.724,280.407,99.0451,283.313,110.185,287.672,113.333,286.219,114.302,277.985,97.3499,276.29,105.826,276.532,108.248,285.008,111.638
31,31,185.106,153.779,165.333,198.336,155.477,198.306,216.455,170.287,257.681,129.109,176.879,195.057,219.749,170.316,257.677,137.368,150.521,328.532,143.899,330.201,150.523,437.361,110.889,534.562,160.417,326.896,150.544,432.417,112.599,531.335,176.9,150.554,0.0,0.0,155.494,162.014,0,0,143.905,559.323,142.3,549.484,87.9124,546.126,150.481,559.387,138.937,560.996,97.6948,544.529,262.916,89.1791,266.362,128.075,258.238,122.167,266.855,139.892,261.193,146.046,274.979,126.352,283.103,129.799,290.98,125.86,293.688,128.322,277.687,120.69,285.811,118.228,291.473,122.167,303.535,125.614,279.164,114.289,282.61,113.797,295.658,117.736,303.535,126.106,271.778,112.074,291.473,110.597,283.841,112.812,303.782,126.352
32,32,183.477,152.233,163.747,195.017,160.376,193.411,216.482,171.956,257.645,134.044,175.199,193.395,221.386,173.595,257.63,140.598,150.47,328.559,147.234,331.846,152.143,437.352,110.905,533.022,157.099,326.892,150.475,432.396,112.611,529.675,176.864,150.534,178.503,150.43,155.498,161.994,0,0,142.262,559.314,0.0,0.0,87.9525,544.478,150.458,559.388,137.365,560.981,97.7114,544.491,265.983,136.36,269.86,115.146,260.736,124.042,258.911,121.989,259.368,122.902,268.036,114.918,284.459,117.427,260.28,124.27,299.742,131.341,280.581,125.639,281.95,123.586,297.689,124.498,284.915,138.869,263.702,110.128,281.266,125.183,255.49,116.971,284.231,140.694,266.211,113.321,262.105,147.537,261.877,147.309,261.877,147.537
33,33,183.462,152.161,163.747,193.391,160.387,191.807,219.729,170.269,257.692,132.37,175.206,193.358,221.397,175.25,259.314,138.971,150.443,326.926,147.239,330.221,152.164,435.686,110.961,532.996,153.81,325.284,150.539,430.772,112.665,531.282,176.844,150.461,0.0,0.0,155.5,160.394,0,0,143.892,559.363,145.568,552.756,87.9477,544.434,150.475,559.401,138.93,560.984,97.7563,542.858,270.22,137.233,270.22,139.317,274.157,139.317,269.293,142.56,263.735,148.581,270.914,117.085,260.493,124.033,262.577,123.106,265.356,114.769,269.062,117.085,286.663,120.79,295.463,130.285,261.188,125.885,268.599,116.39,288.284,128.433,296.389,129.822,258.409,113.611,269.525,115.695,269.757,117.548,296.621,131.675,296.621,131.443
34,34,185.11,152.149,165.293,193.392,158.777,193.369,218.095,171.92,262.616,134.012,175.212,191.792,221.381,173.573,262.637,137.303,150.497,326.912,145.574,330.19,152.153,432.398,110.985,532.916,158.73,325.278,152.136,429.168,114.228,528.033,176.88,150.421,178.63,143.938,155.458,158.755,0,0,142.265,559.336,0.0,0.0,91.1854,541.214,148.89,559.37,137.338,560.945,97.7894,539.574,290.654,133.896,279.929,128.176,274.447,137.471,270.634,142.477,264.914,149.627,288.509,122.933,287.318,122.218,290.416,114.829,293.276,108.632,293.991,129.845,296.851,121.026,261.577,124.601,293.276,108.871,296.851,130.56,299.95,121.264,299.235,120.073,260.385,120.073,269.68,118.643,269.919,119.596,270.395,119.834,262.769,114.829
35,35,185.154,152.126,163.752,191.799,161.999,191.727,218.135,171.926,264.272,134.008,173.588,191.787,219.773,175.208,264.275,138.994,148.891,326.919,147.213,330.208,152.118,434.037,110.982,532.913,153.802,325.282,152.124,429.173,114.244,526.379,176.907,148.884,180.205,143.946,155.479,158.758,0,0,140.668,559.296,0.0,0.0,91.1614,539.565,148.881,559.354,137.328,560.929,97.7921,539.555,297.023,136.83,278.523,132.205,275.359,138.048,270.977,143.403,265.622,150.706,290.694,134.883,298.971,138.048,299.701,139.508,291.425,141.942,296.05,132.205,305.056,124.173,301.892,128.067,301.648,127.824,296.293,131.475,304.083,124.173,306.03,124.659,310.898,125.877,287.773,126.363,305.786,117.844,309.681,118.817,310.655,122.225
36,36,185.155,150.584,163.687,191.734,163.684,190.118,224.699,167.041,269.15,134.037,165.349,191.741,223.056,170.308,267.523,138.993,145.589,331.833,148.879,333.486,150.574,435.677,110.979,532.903,140.623,330.211,150.516,429.158,114.26,524.711,176.916,148.824,180.188,143.9,157.079,157.14,0,0,142.251,559.303,0.0,0.0,92.8479,536.287,148.872,559.343,137.304,559.393,97.801,539.538,272.332,133.196,296.263,105.676,274.007,139.179,271.614,143.247,266.11,151.144,293.152,118.599,299.613,137.265,299.613,140.615,266.11,151.384,289.801,121.949,300.331,131.521,296.98,138.94,308.706,131.761,290.041,123.385,293.87,132.239,295.305,138.94,296.263,139.179,273.529,118.599,292.434,134.393,294.109,138.461,294.827,138.94
37,37,186.766,152.132,163.734,191.774,162.054,191.709,227.962,167.008,270.821,134.023,173.582,191.737,226.333,168.678,267.536,139.002,147.241,328.558,148.851,331.828,152.106,434.044,110.971,532.921,0.0,0.0,0.0,0.0,0.0,0.0,176.947,148.876,0.0,0.0,157.107,158.773,0,0,0.0,0.0,0.0,0.0,0.0,0.0,148.866,559.344,137.305,559.397,97.7925,539.568,306.137,98.8663,296.325,105.063,268.955,149.474,308.461,120.555,310.01,119.781,275.669,121.072,295.551,120.039,302.264,136.564,307.944,140.437,289.87,121.33,295.292,121.846,302.006,132.691,308.461,134.757,290.386,125.72,292.71,124.687,299.94,133.724,302.522,138.63,289.612,129.334,290.386,129.851,296.325,136.306,300.198,140.437
38,38,186.79,152.128,163.757,193.378,162.03,191.776,221.401,173.569,270.86,137.278,175.199,193.358,224.717,173.606,267.555,138.993,148.829,328.532,148.812,330.219,152.108,434.064,110.96,532.946,148.863,326.897,150.559,429.158,114.222,527.998,176.953,148.878,0.0,0.0,157.131,160.391,0,0,142.247,559.323,0.0,0.0,89.5576,541.18,148.879,559.357,137.333,560.939,97.7776,541.194,284.181,108.048,276.43,119.05,272.929,122.301,264.927,128.302,272.929,122.301,302.185,136.804,268.178,149.306,276.179,140.304,312.187,122.051,291.182,126.302,272.179,142.805,278.68,140.304,281.18,134.803,293.683,134.303,286.932,140.054,282.931,144.305,281.18,135.053,293.683,135.554,285.681,144.305,285.931,144.805,290.182,140.555
39,39,188.37,152.163,165.302,193.373,162.014,191.777,218.11,175.244,269.184,138.934,175.213,193.379,223.057,176.874,267.538,140.634,148.812,326.927,147.192,330.214,152.101,434.054,110.965,532.938,150.504,325.295,152.127,429.151,112.672,528.004,178.487,150.424,0.0,0.0,158.761,160.387,0,0,140.659,559.305,0.0,0.0,89.5385,541.176,148.875,559.35,137.323,560.931,97.7813,539.591,285.273,106.773,276.332,120.566,273.267,123.631,310.56,114.691,309.538,122.354,297.022,107.284,299.066,120.566,309.028,126.441,314.392,125.419,287.571,121.333,297.278,122.099,304.174,133.849,309.283,140.49,282.718,123.121,293.957,125.419,301.109,135.126,305.707,141.512,281.186,123.887,290.892,129.506,296.001,135.381,299.577,140.234
40,40,188.424,152.178,165.295,193.369,162.006,191.787,219.767,175.226,270.836,135.691,175.229,193.378,226.355,176.876,269.167,140.641,147.19,330.197,145.587,331.867,150.567,437.336,110.959,532.948,147.233,328.56,150.521,430.743,112.678,527.997,178.518,150.451,0.0,0.0,158.753,162.0,0,0,140.665,559.299,0.0,0.0,89.5312,541.179,148.878,559.355,137.326,560.937,97.7748,541.193,306.643,98.4257,296.903,104.48,264.786,129.752,305.327,129.752,306.643,127.383,300.588,112.904,296.903,122.645,301.378,133.438,304.01,142.388,296.903,121.855,296.376,123.434,301.904,137.123,309.275,142.125,292.954,125.54,294.533,126.067,302.168,135.281,307.959,140.282,288.215,128.173,292.954,130.805,299.009,132.385,301.641,140.809
